epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,343.217,3.5873,4.95598,3.76281,4.02546,0.6698,0.28758,0.0422,0.01322,0.66919,0.23203,0.03328,0.00563,3.36237,4.82473,4.32723,3.71454,0.000468651,0.000468651,0.000468651
2,772.814,2.95184,3.29048,3.17475,3.3787,0.00501,0.40077,0.06187,0.01337,0.00375,0.29739,0.03912,0.00727,3.1563,4.09905,3.89483,3.41935,0.000926273,0.000926273,0.000926273
3,1133.44,2.67755,2.74309,2.76751,2.94592,0.29898,0.27961,0.19272,0.04733,0.34791,0.30799,0.23309,0.06325,2.95851,3.24685,3.14556,3.26702,0.00136503,0.00136503,0.00136503
4,1505.51,2.49656,2.46374,2.54146,2.74363,0.23156,0.4162,0.21622,0.06913,0.22398,0.41116,0.21934,0.07605,2.55349,2.9128,3.28511,2.83716,0.00134412,0.00134412,0.00134412
5,1910.87,2.34053,2.22743,2.354,2.58733,0.10303,0.20834,0.12613,0.04485,0.1479,0.24863,0.16056,0.05333,2.44388,2.44748,3.10219,2.70151,0.00131582,0.00131582,0.00131582
6,2278.55,2.13516,2.16097,2.11385,2.40159,0.3112,0.44238,0.36193,0.15719,0.30995,0.48542,0.40407,0.18261,2.01649,2.46095,3.64633,2.42395,0.00128753,0.00128753,0.00128753
7,4688.51,1.88594,2.03456,1.82495,2.17862,0.35541,0.3992,0.37927,0.22305,0.37607,0.41094,0.40082,0.23254,1.731,2.41229,1.95004,2.17461,0.00125923,0.00125923,0.00125923
8,5059.86,1.69214,2.04214,1.63621,1.99808,0.38446,0.38629,0.40961,0.26765,0.39102,0.42571,0.43189,0.27744,1.69649,2.22948,2.08892,2.02908,0.00123094,0.00123094,0.00123094
9,5386.57,1.55468,1.90887,1.5103,1.87304,0.42141,0.48876,0.45082,0.24979,0.50346,0.50027,0.49425,0.27851,1.69968,2.2794,1.82646,2.06872,0.00120265,0.00120265,0.00120265
10,5716.5,1.44721,1.80327,1.36867,1.77376,0.41021,0.51163,0.46214,0.30857,0.50245,0.4513,0.47392,0.30759,1.47266,2.02842,1.69402,1.86623,0.00117435,0.00117435,0.00117435
11,6039.98,1.38144,1.76329,1.29528,1.72654,0.48322,0.52129,0.47024,0.31101,0.52522,0.56095,0.52061,0.33607,1.43098,1.84285,1.46577,1.79057,0.00114606,0.00114606,0.00114606
